res,cc_obs,bc_obs,ratio
1.0,58097.4,69152,1.1902770175601662
1.5,66838.8,69152,1.0346086404902541
2.0,70757.2,69152,0.9773139694617651
2.5,71958.0,69152,0.96100503071236
3.0,72616.1,69152,0.9522957030190274
3.5,73190.4,69152,0.9448233648128717
4.0,73573.3,69152,0.9399061887940325
4.5,73974.0,69152,0.9348149349771542
5.0,74252.1,69152,0.9313137271538448
5.5,74524.9,69152,0.9279046332165491
6.0,74765.6,69152,0.9249173416651507
6.5,75019.0,69152,0.9217931457364135
7.0,75203.9,69152,0.9195267798611508
7.5,75371.5,69152,0.9174820721360196
8.0,75511.1,69152,0.9157858910809139
8.5,75695.3,69152,0.9135573807092382
9.0,75833.1,69152,0.9118973113323865
9.5,76026.4,69152,0.9095787778982038
10.0,76194.4,69152,0.9075732599771112
