res,cc_obs,bc_obs,ratio
1.0,33872.7,53921,1.591871920455116
1.5,38742.9,53921,1.3917646846260863
2.0,40919.0,53921,1.31774970062807
2.5,42098.4,53921,1.2808325257016893
3.0,42866.6,53921,1.257879094679774
3.5,43531.4,53921,1.2386690986276572
4.0,43964.5,53921,1.2264668084477248
4.5,44393.0,53921,1.2146284324105152
5.0,44741.7,53921,1.2051620747535299
5.5,45045.2,53921,1.1970420821752374
6.0,45326.3,53921,1.1896183893236376
6.5,45540.7,53921,1.1840178126379262
7.0,45778.7,53921,1.177862193552897
7.5,45932.3,53921,1.1739233611206057
8.0,46177.5,53921,1.1676898922635484
8.5,46369.5,53921,1.1628548938418573
9.0,46511.9,53921,1.159294718125899
9.5,46682.5,53921,1.1550581052857067
10.0,46847.8,53921,1.1509825434705578
