res,cc_obs,bc_obs,ratio
1.0,64704.7,102217,1.5797461389976308
1.5,73787.7,102217,1.3852850813889037
2.0,77762.3,102217,1.3144801529790142
2.5,79912.8,102217,1.2791067263317015
3.0,81278.7,102217,1.2576111576587716
3.5,82465.6,102217,1.2395107778273606
4.0,83277.5,102217,1.2274263756717
4.5,84061.2,102217,1.2159831170623308
5.0,84725.9,102217,1.206443366196169
5.5,85307.0,102217,1.1982252335681713
6.0,85817.7,102217,1.191094611018473
6.5,86217.7,102217,1.1855686245399726
7.0,86618.8,102217,1.1800786896147257
7.5,86929.0,102217,1.1758676621150594
8.0,87390.9,102217,1.1696526755074041
8.5,87753.6,102217,1.1648183094482734
9.0,87992.6,102217,1.1616545027650051
9.5,88302.8,102217,1.1575737122718646
10.0,88592.1,102217,1.153793622681932
