res,cc_obs,bc_obs,ratio
1.0,20895.5,31597,1.5121437630111747
1.5,23732.5,31597,1.3313810175919099
2.0,24959.2,31597,1.2659460239110227
2.5,25529.3,31597,1.2376759253093506
3.0,25889.5,31597,1.2204561694895615
3.5,26194.3,31597,1.206254795890709
4.0,26370.2,31597,1.1982085839318624
4.5,26558.2,31597,1.1897267134067822
5.0,26727.6,31597,1.1821862045226659
5.5,26853.1,31597,1.1766611676119332
6.0,27080.1,31597,1.1667977592401801
6.5,27180.9,31597,1.1624707055321934
7.0,27298.8,31597,1.1574501443286884
7.5,27425.0,31597,1.1521239744758431
8.0,27547.1,31597,1.1470172903862839
8.5,27654.9,31597,1.1425461672253379
9.0,27747.2,31597,1.1387455310806136
9.5,27828.3,31597,1.1354268855805063
10.0,27883.9,31597,1.1331628645921121
