res,cc_obs,bc_obs,ratio
1.0,5024.1,6173,1.2286777731334964
1.5,5321.3,6173,1.1600548738090315
2.0,5506.6,6173,1.1210184142665165
2.5,5588.0,6173,1.104688618468146
3.0,5635.9,6173,1.0952997746588833
3.5,5666.3,6173,1.089423433280977
4.0,5684.4,6173,1.0859545422559989
4.5,5701.5,6173,1.0826975357362099
5.0,5718.4,6173,1.0794977616116397
5.5,5727.0,6173,1.0778767242884582
6.0,5730.3,6173,1.077255990087779
6.5,5735.5,6173,1.0762793130503008
7.0,5752.6,6173,1.0730799986093245
7.5,5759.4,6173,1.0718130360801472
8.0,5762.6,6173,1.0712178530524414
8.5,5772.6,6173,1.0693621591657139
9.0,5777.8,6173,1.0683997369240887
9.5,5795.1,6173,1.0652102638435919
10.0,5801.6,6173,1.0640168229453943
