res,cc_obs,bc_obs,ratio
1.0,37454.9,54509,1.4553236025192964
1.5,42110.3,54509,1.2944339033443124
2.0,44064.1,54509,1.2370387685213133
2.5,45001.1,54509,1.2112815020077288
3.0,45612.5,54509,1.195045217867909
3.5,46251.4,54509,1.178537298330429
4.0,46624.9,54509,1.1690963412253967
4.5,46991.7,54509,1.159970803354635
5.0,47277.6,54509,1.1529561568269118
5.5,47502.6,54509,1.1474950844795864
6.0,47763.0,54509,1.1412390343990118
6.5,47937.8,54509,1.1370776297618996
7.0,48155.1,54509,1.1319465643306732
7.5,48267.6,54509,1.129308273044444
8.0,48455.7,54509,1.1249244154970417
8.5,48632.7,54509,1.1208302232859784
9.0,48734.5,54509,1.1184889554627626
9.5,48868.7,54509,1.115417434881632
10.0,49000.9,54509,1.1124081394423366
