res,cc_obs,bc_obs,ratio
1.0,17018.2,38158,2.242187775440411
1.5,19271.7,38158,1.980001764244981
2.0,19858.5,38158,1.9214945741118412
2.5,20180.2,38158,1.8908633214735235
3.0,20462.1,38158,1.8648134844419684
3.5,20713.2,38158,1.842206901878995
4.0,20866.6,38158,1.828663989341819
4.5,21012.6,38158,1.8159580442210865
5.0,21176.2,38158,1.8019285801985248
5.5,21269.6,38158,1.7940158724188515
6.0,21366.3,38158,1.7858964818429022
6.5,21464.2,38158,1.7777508595708202
7.0,21591.5,38158,1.7672695273603038
7.5,21645.9,38158,1.762828064437145
8.0,21711.1,38158,1.7575341645517732
8.5,21771.5,38158,1.7526582918035045
9.0,21832.7,38158,1.747745354445396
9.5,21912.1,38158,1.7414122790604278
10.0,21988.3,38158,1.7353774507351638
