res,cc_obs,bc_obs,ratio
1.0,4905.3,10182,2.0757140236071185
1.5,5165.0,10182,1.9713455953533399
2.0,5241.5,10182,1.9425736907373843
2.5,5300.8,10182,1.920842137035919
3.0,5379.2,10182,1.892846519928614
3.5,5434.3,10182,1.8736543805089891
4.0,5472.4,10182,1.8606096045610703
4.5,5526.4,10182,1.8424290677475392
5.0,5569.2,10182,1.8282697694462402
5.5,5590.8,10182,1.8212062674393645
6.0,5620.2,10182,1.811679299669051
6.5,5630.7,10182,1.8083009217326442
7.0,5664.5,10182,1.7975108129578956
7.5,5686.7,10182,1.7904936078920992
8.0,5690.4,10182,1.789329396878954
8.5,5713.8,10182,1.7820014701249605
9.0,5726.6,10182,1.7780183704117625
9.5,5746.0,10182,1.7720153150017404
10.0,5781.2,10182,1.761226043036048
