res,cc_obs,bc_obs,ratio
1.0,3388.2,7300,2.1545363319756805
1.5,3728.4,7300,1.9579444265636734
2.0,3833.4,7300,1.904314707570303
2.5,3881.6,7300,1.8806677658697444
3.0,3931.5,7300,1.8567976599262368
3.5,3978.7,7300,1.8347701510543646
4.0,3997.2,7300,1.8262783948764136
4.5,4029.5,7300,1.8116391611862515
5.0,4069.3,7300,1.7939203302779347
5.5,4075.3,7300,1.7912791696316834
6.0,4092.6,7300,1.783707178810536
6.5,4098.8,7300,1.7810090758270714
7.0,4133.3,7300,1.7661432753489947
7.5,4143.6,7300,1.7617530649676607
8.0,4147.3,7300,1.76018132278832
8.5,4155.2,7300,1.7568348093954564
9.0,4175.0,7300,1.748502994011976
9.5,4185.1,7300,1.7442832907218464
10.0,4198.2,7300,1.738840455433281
