res,cc_obs,bc_obs,ratio
1.0,146.4,253,1.7281420765027322
1.5,176.0,253,1.4375
2.0,191.5,253,1.321148825065274
2.5,203.0,253,1.2463054187192117
3.0,217.2,253,1.1648250460405156
3.5,219.4,253,1.1531449407474932
4.0,222.1,253,1.1391265195857723
4.5,225.4,253,1.1224489795918366
5.0,225.6,253,1.12145390070922
5.5,225.1,253,1.1239449133718347
6.0,225.3,253,1.1229471815357301
6.5,226.5,253,1.1169977924944812
7.0,227.5,253,1.1120879120879121
7.5,226.8,253,1.1155202821869488
8.0,227.3,253,1.1130664320281565
8.5,229.0,253,1.1048034934497817
9.0,228.5,253,1.1072210065645514
9.5,230.7,253,1.0966623320329432
10.0,232.1,253,1.0900473933649288
