res,cc_obs,bc_obs,ratio
1.0,9170.9,20304,2.2139593714902572
1.5,10906.0,20304,1.8617274894553457
2.0,11334.6,20304,1.7913292043830396
2.5,11587.6,20304,1.7522178880872656
3.0,11762.5,20304,1.726163655685441
3.5,11877.8,20304,1.7094074660290628
4.0,11978.0,20304,1.6951076974453163
4.5,12052.5,20304,1.6846297448662104
5.0,12121.8,20304,1.674998762560016
5.5,12180.2,20304,1.6669677016797753
6.0,12224.8,20304,1.6608860676657289
6.5,12265.8,20304,1.6553343442743238
7.0,12318.1,20304,1.6483061511109667
7.5,12362.5,20304,1.6423862487360972
8.0,12392.1,20304,1.6384632144672815
8.5,12436.1,20304,1.632666189561036
9.0,12485.8,20304,1.6261673260824296
9.5,12527.8,20304,1.6207155286642507
10.0,12548.3,20304,1.6180677860746078
