res,cc_obs,bc_obs,ratio
1.0,822.5,1702,2.0693009118541035
1.5,928.8,1702,1.8324720068906117
2.0,965.7,1702,1.7624521072796935
2.5,979.1,1702,1.7383311204167091
3.0,1004.4,1702,1.6945440063719635
3.5,1015.6,1702,1.6758566364710517
4.0,1017.9,1702,1.672069947932017
4.5,1020.3,1702,1.6681368225031854
5.0,1029.9,1702,1.6525876298669773
5.5,1035.9,1702,1.6430157351095664
6.0,1040.3,1702,1.6360665192732866
6.5,1039.4,1702,1.6374831633634788
7.0,1046.6,1702,1.626218230460539
7.5,1050.2,1702,1.6206436869167777
8.0,1051.5,1702,1.618640038040894
8.5,1059.4,1702,1.606569756465924
9.0,1060.4,1702,1.6050546963410033
9.5,1066.6,1702,1.5957247327958
10.0,1069.9,1702,1.590802878773717
