res,cc_obs,bc_obs,ratio
1.0,2436.6,3961,1.6256258721168841
1.5,2654.8,3961,1.4920144643664306
2.0,2765.1,3961,1.432497920509204
2.5,2820.7,3961,1.4042613535647182
3.0,2880.4,3961,1.3751562283016248
3.5,2920.8,3961,1.3561353053957819
4.0,2965.4,3961,1.3357388547919335
4.5,2990.2,3961,1.3246605578222193
5.0,3009.6,3961,1.3161217437533228
5.5,3026.8,3961,1.3086427910664729
6.0,3051.9,3961,1.2978800091746125
6.5,3067.6,3961,1.2912374494719
7.0,3103.7,3961,1.2762187067049007
7.5,3114.3,3961,1.2718748996564235
8.0,3140.5,3961,1.2612641299156184
8.5,3150.7,3961,1.2571809439172248
9.0,3168.6,3961,1.2500788991983842
9.5,3176.0,3961,1.2471662468513853
10.0,3185.9,3961,1.2432907498665997
