res,cc_obs,bc_obs,ratio
1.0,2950.0,4849,1.643728813559322
1.5,3202.1,4849,1.5143187283345305
2.0,3331.1,4849,1.4556753024526432
2.5,3395.1,4849,1.428234808989426
3.0,3468.8,4849,1.3978897601476015
3.5,3518.2,4849,1.3782616110511057
4.0,3577.2,4849,1.355529464385553
4.5,3605.7,4849,1.344815153784286
5.0,3623.0,4849,1.3383935964670164
5.5,3646.6,4849,1.3297318049690123
6.0,3678.4,4849,1.3182361896476729
6.5,3693.2,4849,1.3129535362287448
7.0,3734.9,4849,1.2982944657152802
7.5,3750.4,4849,1.2929287542662116
8.0,3779.7,4849,1.2829060507447683
8.5,3795.0,4849,1.277733860342556
9.0,3814.1,4849,1.2713353084607115
9.5,3828.8,4849,1.2664542415378186
10.0,3840.7,4849,1.2625302679199104
