res,cc_obs,bc_obs,ratio
1.0,236.5,383,1.6194503171247356
1.5,249.7,383,1.5338406087304766
2.0,256.0,383,1.49609375
2.5,259.2,383,1.4776234567901234
3.0,264.3,383,1.4491108588724932
3.5,266.3,383,1.438227562898986
4.0,270.0,383,1.4185185185185185
4.5,271.4,383,1.4112011790714813
5.0,272.3,383,1.4065369078222547
5.5,275.6,383,1.3896952104499274
6.0,277.8,383,1.378689704823614
6.5,278.5,383,1.3752244165170557
7.0,283.1,383,1.3528788413987989
7.5,283.4,383,1.3514467184191956
8.0,282.6,383,1.3552724699221514
8.5,283.7,383,1.3500176242509694
9.0,285.3,383,1.342446547493866
9.5,284.5,383,1.3462214411247804
10.0,285.7,383,1.3405670283514177
