res,cc_obs,bc_obs,ratio
1.0,1842.9,3074,1.6680232242661022
1.5,1987.1,3074,1.5469780081525843
2.0,2057.4,3074,1.494118790706717
2.5,2094.9,3074,1.4673731443028306
3.0,2138.2,3074,1.4376578430455524
3.5,2169.2,3074,1.4171122994652408
4.0,2203.3,3074,1.395179957336722
4.5,2212.6,3074,1.389315737141824
5.0,2223.5,3074,1.3825050595907353
5.5,2241.6,3074,1.371341898643826
6.0,2255.1,3074,1.3631324553234891
6.5,2263.0,3074,1.3583738400353513
7.0,2292.5,3074,1.3408942202835332
7.5,2302.2,3074,1.335244548692555
8.0,2309.4,3074,1.3310816662336538
8.5,2316.7,3074,1.3268873829153538
9.0,2328.8,3074,1.3199931295087597
9.5,2334.9,3074,1.3165446057647008
10.0,2344.2,3074,1.3113215595938914
