res,cc_obs,bc_obs,ratio
1.0,19596.4,31530,1.6089689943050762
1.5,22314.1,31530,1.4130079187598874
2.0,23469.3,31530,1.3434571972747378
2.5,23990.6,31530,1.3142647536951975
3.0,24387.9,31530,1.2928542432927803
3.5,24685.3,31530,1.2772783802505945
4.0,24922.8,31530,1.2651066493331409
4.5,25069.1,31530,1.257723651826352
5.0,25223.8,31530,1.2500099112742729
5.5,25397.3,31530,1.2414705500190966
6.0,25545.4,31530,1.2342730980920242
6.5,25718.1,31530,1.2259848122528492
7.0,25891.7,31530,1.217764766315074
7.5,26020.6,31530,1.2117322429152289
8.0,26125.2,31530,1.2068807128749253
8.5,26234.3,31530,1.2018616848934411
9.0,26360.9,31530,1.1960896630995148
9.5,26460.1,31530,1.191605473902215
10.0,26536.7,31530,1.188165823180727
