res,cc_obs,bc_obs,ratio
1.0,38325.5,61351,1.6007879871104096
1.5,43575.1,61351,1.4079371016933984
2.0,45924.4,61351,1.335912935171717
2.5,46959.4,61351,1.3064689923636161
3.0,47742.1,61351,1.285050301515853
3.5,48334.8,61351,1.2692925180201429
4.0,48742.9,61351,1.2586653645966899
4.5,49013.3,61351,1.251721471518955
5.0,49284.6,61351,1.2448310425569042
5.5,49599.4,61351,1.2369302854470012
6.0,49864.6,61351,1.2303517926545084
6.5,50200.3,61351,1.2221241705726857
7.0,50586.4,61351,1.2127963247038729
7.5,50846.4,61351,1.2065947638377545
8.0,51040.7,61351,1.2020015399475321
8.5,51252.2,61351,1.1970412977394143
9.0,51534.6,61351,1.1904817346016074
9.5,51730.8,61351,1.1859665808377213
10.0,51886.9,61351,1.1823986401191822
