res,cc_obs,bc_obs,ratio
1.0,9522.7,15060,1.5814842429142995
1.5,10521.2,15060,1.4313956582899288
2.0,11103.9,15060,1.3562802258665874
2.5,11342.6,15060,1.3277379084160599
3.0,11523.3,15060,1.3069172893181642
3.5,11715.4,15060,1.2854874780203835
4.0,11816.8,15060,1.274456705707129
4.5,11912.5,15060,1.2642182581322141
5.0,11962.6,15060,1.2589236453613764
5.5,12055.7,15060,1.2492016224690394
6.0,12139.4,15060,1.2405884969603111
6.5,12246.2,15060,1.2297692345380606
7.0,12365.3,15060,1.2179243528260537
7.5,12463.2,15060,1.2083574041979588
8.0,12522.5,15060,1.2026352565382312
8.5,12580.5,15060,1.1970907356623346
9.0,12657.1,15060,1.1898460152799615
9.5,12692.3,15060,1.1865461736643477
10.0,12742.5,15060,1.1818716892289582
