res,cc_obs,bc_obs,ratio
1.0,2833.6,4011,1.415513833992095
1.5,3149.2,4011,1.273656801727423
2.0,3277.4,4011,1.2238359675352413
2.5,3325.1,4011,1.206279510390665
3.0,3383.2,4011,1.1855639631118469
3.5,3404.6,4011,1.178111966163426
4.0,3423.3,4011,1.171676452545789
4.5,3430.2,4011,1.1693195732027288
5.0,3452.6,4011,1.1617331865840237
5.5,3473.5,4011,1.1547430545559234
6.0,3485.9,4011,1.1506354169654895
6.5,3511.4,4011,1.142279432704904
7.0,3530.8,4011,1.1360031720856463
7.5,3534.1,4011,1.1349424181545513
8.0,3551.3,4011,1.1294455551488187
8.5,3563.7,4011,1.1255156157925752
9.0,3580.8,4011,1.1201407506702412
9.5,3587.8,4011,1.1179552929371759
10.0,3594.2,4011,1.115964609648879
