res,cc_obs,bc_obs,ratio
1.0,6955.9,10935,1.5720467516784313
1.5,7648.5,10935,1.4296920964895077
2.0,8027.7,10935,1.362158526103367
2.5,8201.8,10935,1.333243922065888
3.0,8284.0,10935,1.3200144857556735
3.5,8345.3,10935,1.310318382802296
4.0,8405.3,10935,1.3009648674050898
4.5,8435.9,10935,1.2962458066122169
5.0,8464.2,10935,1.2919118168285246
5.5,8512.8,10935,1.2845362277981394
6.0,8573.4,10935,1.2754566449716567
6.5,8649.5,10935,1.2642349268743858
7.0,8726.2,10935,1.2531227796750015
7.5,8784.9,10935,1.2447495133695319
8.0,8816.3,10935,1.240316232433107
8.5,8862.8,10935,1.2338087286184953
9.0,8906.1,10935,1.2278101525920435
9.5,8929.4,10935,1.224606356530114
10.0,8952.9,10935,1.2213919512113394
